City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Severo-Kurilsk,50.6789,156.125,43.99,83,83,10.58,RU,broken clouds
80,Belle Fourche,44.6714,-103.8522,65.08,46,58,8.5,US,broken clouds
81,Port Hardy,50.6996,-127.4199,53.78,71,75,11.5,CA,broken clouds
82,Kushima,31.4583,131.2333,66.83,99,100,0.47,JP,overcast clouds
83,Chuy,-33.6971,-53.4616,43.79,81,8,7.09,UY,clear sky
84,Yellowknife,62.456,-114.3525,55.92,28,40,13.8,CA,scattered clouds
85,Guerrero Negro,27.9769,-114.0611,65.59,67,8,23.98,MX,clear sky
86,Saskylakh,71.9167,114.0833,27.61,94,100,5.91,RU,overcast clouds
87,Riverton,40.5219,-111.9391,54.18,65,100,11.01,US,overcast clouds
88,Marawi,7.9986,124.2928,71.8,89,100,1.63,PH,overcast clouds
89,Hilo,19.7297,-155.09,86.29,75,100,9.22,US,overcast clouds
90,Oranjemund,-28.55,16.4333,53.87,86,0,8.34,NA,clear sky
91,Garissa,-0.4536,39.6401,73.56,84,51,12.84,KE,broken clouds
92,Sioux Lookout,50.1001,-91.917,60.87,82,75,8.05,CA,broken clouds
93,Oudtshoorn,-33.5907,22.2014,47.23,70,42,4.12,ZA,scattered clouds
94,Arandis,-22.4167,14.9667,57.24,33,0,2.91,NA,clear sky
95,Correntina,-13.3433,-44.6367,67.6,50,0,3.11,BR,clear sky
96,Saint-Augustin,51.226,-58.6502,48.2,89,89,5.32,CA,overcast clouds
97,Karratha,-20.7377,116.8463,66.18,91,100,22.03,AU,overcast clouds
98,Nyuksenitsa,60.4128,44.2397,47.53,97,98,7.85,RU,overcast clouds
99,Marystown,47.1666,-55.1483,47.86,100,68,8.9,CA,broken clouds
100,Bambous Virieux,-20.3428,57.7575,73.65,56,75,17.27,MU,broken clouds
101,Lavrentiya,65.5833,-171.0,37.47,90,85,3.96,RU,overcast clouds
102,Bezhetsk,57.7851,36.6965,42.01,96,41,8.1,RU,scattered clouds
103,Georgetown,5.4112,100.3354,82.33,92,20,3.44,MY,few clouds
104,San Cristobal,7.7669,-72.225,75.38,77,16,2.89,VE,few clouds
105,Hasaki,35.7333,140.8333,72.0,73,88,18.5,JP,overcast clouds
106,Bengkulu,-3.8004,102.2655,75.43,90,52,4.43,ID,broken clouds
107,Kaitangata,-46.2817,169.8464,52.48,69,100,9.28,NZ,overcast clouds
108,Mayumba,-3.432,10.6554,72.19,91,18,6.15,GA,few clouds
109,Carnarvon,-24.8667,113.6333,64.11,41,87,24.67,AU,overcast clouds
110,Kembolcha,11.0816,39.7434,67.66,36,96,1.59,ET,overcast clouds
111,Victoria,22.2855,114.1577,85.32,83,50,8.99,HK,scattered clouds
112,Zapolyarnyy,69.4154,30.8136,38.48,84,17,8.66,RU,few clouds
113,Visby,57.6409,18.296,47.82,100,100,4.61,SE,fog
114,Neryungri,56.6709,124.6491,46.18,78,100,11.41,RU,overcast clouds
115,Usakos,-22.0,15.6,60.17,23,0,4.54,NA,clear sky
116,Port Alfred,-33.5906,26.891,56.89,69,52,22.95,ZA,light rain
117,Ullapool,57.8987,-5.1604,45.36,91,96,6.87,GB,overcast clouds
118,Chokurdakh,70.6333,147.9167,36.59,84,100,7.9,RU,overcast clouds
119,Sarahan,31.5167,77.8,55.18,55,8,7.49,IN,clear sky
120,Mehamn,71.0357,27.8492,39.11,78,11,10.65,NO,few clouds
121,Povenets,62.8487,34.8262,45.52,97,100,5.01,RU,overcast clouds
122,Plettenberg Bay,-34.0527,23.3716,55.45,68,90,11.18,ZA,overcast clouds
123,Beringovskiy,63.05,179.3167,41.95,71,59,9.15,RU,broken clouds
124,Faanui,-16.4833,-151.75,80.26,70,6,9.69,PF,clear sky
125,Naze,28.3667,129.4833,77.92,84,90,18.3,JP,overcast clouds
126,Oistins,13.0667,-59.5333,80.69,74,40,17.27,BB,scattered clouds
127,Atuona,-9.8,-139.0333,78.1,73,18,15.82,PF,few clouds
128,Coquimbo,-29.9533,-71.3436,53.33,82,0,0.0,CL,clear sky
129,Kavieng,-2.5744,150.7967,82.96,75,65,11.12,PG,light rain
130,Minab,27.1467,57.0801,86.07,44,0,4.97,IR,clear sky
131,Ciudad Bolivar,8.1222,-63.5497,87.78,47,83,12.37,VE,broken clouds
132,Necochea,-38.5473,-58.7368,43.36,60,56,17.56,AR,broken clouds
133,Khatanga,71.9667,102.5,33.13,69,67,12.57,RU,broken clouds
134,Poum,-20.2333,164.0167,76.44,69,79,3.91,NC,broken clouds
135,Shizunai,42.3339,142.3669,55.56,80,27,4.68,JP,scattered clouds
136,Pevek,69.7008,170.3133,33.49,79,91,5.97,RU,overcast clouds
137,Avarua,-21.2078,-159.775,77.05,78,75,11.5,CK,broken clouds
138,Bosaso,11.2842,49.1816,87.78,43,74,7.85,SO,broken clouds
139,Zavolzhsk,57.4823,42.1378,42.22,94,51,8.12,RU,broken clouds
140,Vila Velha,-20.3297,-40.2925,71.55,97,100,5.75,BR,overcast clouds
141,Manokwari,-0.8667,134.0833,82.27,73,58,6.71,ID,broken clouds
142,Kruisfontein,-34.0033,24.7314,55.35,61,76,15.01,ZA,light rain
143,Veraval,20.9,70.3667,82.54,71,54,15.84,IN,broken clouds
144,Khash,28.2211,61.2158,65.95,15,0,5.84,IR,clear sky
145,Patacamaya,-17.2333,-67.9167,45.23,57,23,5.37,BO,few clouds
146,Benghazi,32.1167,20.0667,70.25,75,0,7.29,LY,clear sky
147,Popondetta,-8.7537,148.2534,85.6,62,43,2.68,PG,scattered clouds
148,Pathein,16.7833,94.7333,80.56,86,100,4.23,MM,overcast clouds
149,Bandarbeyla,9.4942,50.8122,80.06,73,96,21.03,SO,overcast clouds
150,Xinyang,32.1228,114.0656,74.35,68,98,12.97,CN,overcast clouds
