City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,Abong Mbang,CM,67.6,broken clouds,3.9833,13.1833,Auberge Angle Sur
158,Namatanai,PG,82.35,light rain,-3.6667,152.4333,Seagulls Inn Namatani
159,Cabedelo,BR,74.07,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
162,Katsuura,JP,72.14,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
165,Toro,CO,76.28,broken clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
167,Ilhabela,BR,72.46,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
170,Gorontalo,ID,80.08,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
172,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
177,Fairmont,US,81.77,scattered clouds,39.4851,-80.1426,Clarion Inn
178,Dingle,PH,82.17,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
179,Chunar,IN,80.65,clear sky,25.1333,82.9,Mishra bhawan
181,Fomboni,KM,80.56,light rain,-12.28,43.7425,Auberge les abou
183,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
185,Paducah,US,80.73,clear sky,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
191,Miraflores,MX,77.65,overcast clouds,19.2167,-98.8083,Hotel Mansión
192,Bandar-E Lengeh,IR,78.91,clear sky,26.5579,54.8807,کافی نت پارس
193,Westport,US,70.93,clear sky,41.1415,-73.3579,The Westport Inn
194,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
195,Sinnamary,GF,77.88,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
197,Ravar,IR,67.91,clear sky,31.2656,56.8055,computertik
198,Gladstone,AU,70.79,overcast clouds,-23.85,151.25,Highpoint International Hotel
200,Mataram,ID,83.21,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
201,Itarema,BR,77.56,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
205,Kailua,US,82.15,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
206,Kapit,MY,78.44,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
208,Maceio,BR,72.84,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
209,Fort Stewart,US,82.49,clear sky,31.8722,-81.61,"Holiday Inn Express & Suites Hinesville East - Fort Stewart, an IHG Hotel"
211,Cape Canaveral,US,83.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
214,Kavaratti,IN,81.68,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
219,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
222,Moranbah,AU,72.81,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
223,Xiaoweizhai,CN,68.85,overcast clouds,26.1903,107.5125,Karst Youth Hostel
224,Candelaria,PH,82.38,overcast clouds,13.9311,121.4233,Casa de Provincia
226,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
228,Kiunga,PG,79.97,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
231,Kewanee,US,72.95,overcast clouds,41.2456,-89.9248,AmericInn by Wyndham Kewanee
232,Kongolo,CD,69.01,light rain,-5.3833,27.0,GUEST HOUSE OASIS
234,Semporna,MY,79.61,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
237,Pilar,BR,71.53,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
239,Matay,EG,80.42,clear sky,28.419,30.7792,Nag Aespen
240,Pacific Grove,US,74.25,clear sky,36.6177,-121.9166,Lovers Point Inn
243,Adeje,ES,65.32,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
247,Basoko,CD,71.2,scattered clouds,1.2391,23.616,Jackyna Hotel
250,Bardiyah,LY,72.14,clear sky,31.7561,25.0865,بورتو بردية
251,Juegang,CN,83.95,overcast clouds,32.3174,121.1855,Rudong Y Hotel
254,Yeppoon,AU,71.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
255,Atambua,ID,79.79,broken clouds,-9.1061,124.8925,Kost Alfa Flat
257,Shelburne,CA,72.05,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
259,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
262,Shingu,JP,75.9,broken clouds,33.7333,135.9833,Shingu UI Hotel
269,Coahuayana,MX,83.7,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
272,Bambanglipuro,ID,77.5,few clouds,-7.95,110.2833,Puri Brata
276,Les Cayes,HT,78.69,overcast clouds,18.2,-73.75,Villa Orphee
277,Risod,IN,81.27,clear sky,19.9667,76.7833,Nikhil vitthal Parbat
280,Inirida,CO,74.57,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
281,Tautira,PF,79.45,few clouds,-17.7333,-149.15,Pension Oaoa
282,Lorengau,PG,82.74,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
283,Vieques,PR,82.44,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
285,Rumonge,BI,69.62,light rain,-3.9736,29.4386,Kwetu Guest House
288,Dalbandin,PK,75.76,clear sky,28.8947,64.4101,Sanjrani House
290,Altamira,BR,74.84,overcast clouds,-3.2033,-52.2064,Requinte Hotel
293,Bethel,US,69.67,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
294,Sibolga,ID,75.52,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
295,Guarapari,BR,68.9,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
296,Ibra,OM,79.2,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
297,Faya,SA,66.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
299,Korla,CN,78.64,overcast clouds,41.7597,86.1469,Gulisitan Hotel
300,Palmer,US,72.01,few clouds,42.1584,-72.3287,Wedgewood Motel
303,Buta,CD,69.37,scattered clouds,2.7858,24.73,HOTEL BISO NA BISO
306,Digapahandi,IN,87.13,broken clouds,19.3667,84.5833,Tiffin Hotel
308,Quatre Cocos,MU,73.51,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
309,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
311,Along,IN,71.76,broken clouds,28.1667,94.7667,Hotel West
313,College,US,73.58,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
315,Eyl,SO,79.5,overcast clouds,7.9803,49.8164,Amiin Hotel
322,Pontianak,ID,76.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
324,Dawei,MM,76.5,overcast clouds,14.0833,98.2,Hotel Dawei
325,Dalianwan,CN,68.04,clear sky,39.0286,121.695,Huanghai Hotel
